**** The Simulator log: stage 2
0.0,OOP_Ex0_Elevator_Simulator
0.0,Simulated Building, ex0.simulator.Builging_A [-2,10]
0) ex0.simulator.Elevator_A, Elev_0, speed: 1.0, open/close: 2.0,  start/stop: 3.0
1) ex0.simulator.Elevator_A, Elev_1, speed: 1.0, open/close: 2.0,  start/stop: 3.0
0.0,Simulated Period starTime,0.0,  endTime,1000.0,  dt,1.0
0.0,Simulated  calls,Elevetor log, size: 0
0.0,**** Simulation starts!! ****
0.0, elevID,0,  pos,-2,  cmd, goto,1
0.0, elevID,1,  pos,-2,  cmd, goto,4
13.0, elevID,0,  pos,1,  cmd, goto,0
16.0, elevID,1,  pos,4,  cmd, goto,5
24.0, elevID,0,  pos,0,  cmd, goto,-1
27.0, elevID,1,  pos,5,  cmd, goto,6
35.0, elevID,0,  pos,-1,  cmd, goto,-2
38.0, elevID,1,  pos,6,  cmd, goto,7
46.0, elevID,0,  pos,-2,  cmd, goto,10
49.0, elevID,1,  pos,7,  cmd, goto,8
60.0, elevID,1,  pos,8,  cmd, goto,9
68.0, elevID,0,  pos,10,  cmd, goto,9
71.0, elevID,1,  pos,9,  cmd, goto,10
79.0, elevID,0,  pos,9,  cmd, goto,8
82.0, elevID,1,  pos,10,  cmd, goto,-2
90.0, elevID,0,  pos,8,  cmd, goto,7
101.0, elevID,0,  pos,7,  cmd, goto,6
104.0, elevID,1,  pos,-2,  cmd, goto,-1
112.0, elevID,0,  pos,6,  cmd, goto,5
115.0, elevID,1,  pos,-1,  cmd, goto,0
123.0, elevID,0,  pos,5,  cmd, goto,4
126.0, elevID,1,  pos,0,  cmd, goto,1
134.0, elevID,0,  pos,4,  cmd, goto,3
137.0, elevID,1,  pos,1,  cmd, goto,2
145.0, elevID,0,  pos,3,  cmd, goto,2
148.0, elevID,1,  pos,2,  cmd, goto,3
156.0, elevID,0,  pos,2,  cmd, goto,1
159.0, elevID,1,  pos,3,  cmd, goto,4
167.0, elevID,0,  pos,1,  cmd, goto,0
170.0, elevID,1,  pos,4,  cmd, goto,5
178.0, elevID,0,  pos,0,  cmd, goto,-1
181.0, elevID,1,  pos,5,  cmd, goto,6
189.0, elevID,0,  pos,-1,  cmd, goto,-2
192.0, elevID,1,  pos,6,  cmd, goto,7
200.0, elevID,0,  pos,-2,  cmd, goto,10
203.0, elevID,1,  pos,7,  cmd, goto,8
214.0, elevID,1,  pos,8,  cmd, goto,9
222.0, elevID,0,  pos,10,  cmd, goto,9
225.0, elevID,1,  pos,9,  cmd, goto,10
233.0, elevID,0,  pos,9,  cmd, goto,8
236.0, elevID,1,  pos,10,  cmd, goto,-2
244.0, elevID,0,  pos,8,  cmd, goto,7
255.0, elevID,0,  pos,7,  cmd, goto,6
258.0, elevID,1,  pos,-2,  cmd, goto,-1
266.0, elevID,0,  pos,6,  cmd, goto,5
269.0, elevID,1,  pos,-1,  cmd, goto,0
277.0, elevID,0,  pos,5,  cmd, goto,4
280.0, elevID,1,  pos,0,  cmd, goto,1
288.0, elevID,0,  pos,4,  cmd, goto,3
291.0, elevID,1,  pos,1,  cmd, goto,2
299.0, elevID,0,  pos,3,  cmd, goto,2
302.0, elevID,1,  pos,2,  cmd, goto,3
310.0, elevID,0,  pos,2,  cmd, goto,1
313.0, elevID,1,  pos,3,  cmd, goto,4
321.0, elevID,0,  pos,1,  cmd, goto,0
324.0, elevID,1,  pos,4,  cmd, goto,5
332.0, elevID,0,  pos,0,  cmd, goto,-1
335.0, elevID,1,  pos,5,  cmd, goto,6
343.0, elevID,0,  pos,-1,  cmd, goto,-2
346.0, elevID,1,  pos,6,  cmd, goto,7
354.0, elevID,0,  pos,-2,  cmd, goto,10
357.0, elevID,1,  pos,7,  cmd, goto,8
368.0, elevID,1,  pos,8,  cmd, goto,9
376.0, elevID,0,  pos,10,  cmd, goto,9
379.0, elevID,1,  pos,9,  cmd, goto,10
387.0, elevID,0,  pos,9,  cmd, goto,8
390.0, elevID,1,  pos,10,  cmd, goto,-2
398.0, elevID,0,  pos,8,  cmd, goto,7
409.0, elevID,0,  pos,7,  cmd, goto,6
412.0, elevID,1,  pos,-2,  cmd, goto,-1
420.0, elevID,0,  pos,6,  cmd, goto,5
423.0, elevID,1,  pos,-1,  cmd, goto,0
431.0, elevID,0,  pos,5,  cmd, goto,4
434.0, elevID,1,  pos,0,  cmd, goto,1
442.0, elevID,0,  pos,4,  cmd, goto,3
445.0, elevID,1,  pos,1,  cmd, goto,2
453.0, elevID,0,  pos,3,  cmd, goto,2
456.0, elevID,1,  pos,2,  cmd, goto,3
464.0, elevID,0,  pos,2,  cmd, goto,1
467.0, elevID,1,  pos,3,  cmd, goto,4
475.0, elevID,0,  pos,1,  cmd, goto,0
478.0, elevID,1,  pos,4,  cmd, goto,5
486.0, elevID,0,  pos,0,  cmd, goto,-1
489.0, elevID,1,  pos,5,  cmd, goto,6
497.0, elevID,0,  pos,-1,  cmd, goto,-2
500.0, elevID,1,  pos,6,  cmd, goto,7
508.0, elevID,0,  pos,-2,  cmd, goto,10
511.0, elevID,1,  pos,7,  cmd, goto,8
522.0, elevID,1,  pos,8,  cmd, goto,9
530.0, elevID,0,  pos,10,  cmd, goto,9
533.0, elevID,1,  pos,9,  cmd, goto,10
541.0, elevID,0,  pos,9,  cmd, goto,8
544.0, elevID,1,  pos,10,  cmd, goto,-2
552.0, elevID,0,  pos,8,  cmd, goto,7
563.0, elevID,0,  pos,7,  cmd, goto,6
566.0, elevID,1,  pos,-2,  cmd, goto,-1
574.0, elevID,0,  pos,6,  cmd, goto,5
577.0, elevID,1,  pos,-1,  cmd, goto,0
585.0, elevID,0,  pos,5,  cmd, goto,4
588.0, elevID,1,  pos,0,  cmd, goto,1
596.0, elevID,0,  pos,4,  cmd, goto,3
599.0, elevID,1,  pos,1,  cmd, goto,2
607.0, elevID,0,  pos,3,  cmd, goto,2
610.0, elevID,1,  pos,2,  cmd, goto,3
618.0, elevID,0,  pos,2,  cmd, goto,1
621.0, elevID,1,  pos,3,  cmd, goto,4
629.0, elevID,0,  pos,1,  cmd, goto,0
632.0, elevID,1,  pos,4,  cmd, goto,5
640.0, elevID,0,  pos,0,  cmd, goto,-1
643.0, elevID,1,  pos,5,  cmd, goto,6
651.0, elevID,0,  pos,-1,  cmd, goto,-2
654.0, elevID,1,  pos,6,  cmd, goto,7
662.0, elevID,0,  pos,-2,  cmd, goto,10
665.0, elevID,1,  pos,7,  cmd, goto,8
676.0, elevID,1,  pos,8,  cmd, goto,9
684.0, elevID,0,  pos,10,  cmd, goto,9
687.0, elevID,1,  pos,9,  cmd, goto,10
695.0, elevID,0,  pos,9,  cmd, goto,8
698.0, elevID,1,  pos,10,  cmd, goto,-2
706.0, elevID,0,  pos,8,  cmd, goto,7
717.0, elevID,0,  pos,7,  cmd, goto,6
